URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/lean-human-language-extension","Other"
http://lean.sa/fhir/lean/core/ValueSet/lean-patient-gender-valueset,0.0.1,draft,,LeanPatientGenderValueSet,Gender (Saudi-Health-Data-Dictionary-v2 sex),"ValueSet for the Saudi-Health-Data-Dictionary-v2 gender codes.","StructureDefinition/lean-patient-gender-extension","Internal"
http://lean.sa/fhir/lean/core/ValueSet/lean-patient-nationality-valueset,0.0.1,draft,,LeanPatientNationalityValueSet,Nationality (ISO 3166-1 Alpha-3 Subset),"ValueSet for the Countries represented using ISO 3166-1 alpha-3 codes.","StructureDefinition/lean-patient-nationality-extension","Internal"
